number of segments,tendon segment span,ventral curvature
15,1,43.40819834541093
15,2,68.56572824738677
15,3,92.81811806545792
15,4,118.54623855560203
15,5,143.21029753532818
15,6,159.78976212283374
15,7,159.89177782827707
15,8,138.5320687463547
15,9,116.74301397320531
15,10,94.96714146515406
15,11,71.14733484797648
16,1,43.330836207776784
16,2,68.54409020809615
16,3,92.66379677135066
16,4,119.39411091841073
16,5,145.906405427164
16,6,165.95529192433423
16,7,173.2812572054415
16,8,160.10287165476547
16,9,138.85209042972647
16,10,116.93163647732437
16,11,95.13775959062096
17,1,43.24077674847558
17,2,68.35345962836111
17,3,92.54374253630934
17,4,118.92239073357297
17,5,147.73318050181894
17,6,170.19050098336237
17,7,183.28110494282538
17,8,180.4427515313349
17,9,160.12009739185225
17,10,138.81334959675414
17,11,116.94364394988527
18,1,43.180763291333264
18,2,68.30950736105207
18,3,92.56932159475103
18,4,119.09956584064311
18,5,149.53255285752377
18,6,176.10862767274662
18,7,190.63790169784613
18,8,196.05687816268588
18,9,180.68262777498575
18,10,160.2847595923629
18,11,139.09142025824372
19,1,43.0395832811891
19,2,68.2295121854929
19,3,92.37974969433733
19,4,118.87613669251365
19,5,150.50876447483702
19,6,180.23783219585619
19,7,198.2565132641318
19,8,207.22486583306033
19,9,201.5105929696443
19,10,180.69740830434966
19,11,160.28256027145017
20,2,68.21243671256785
20,3,92.32144036939293
20,4,118.88345865530391
20,5,150.98609907517255
20,6,184.58345809300673
20,7,205.09567730271394
20,8,215.46386348165828
20,9,219.3442851944393
20,10,201.76453940298538
20,11,180.91635684838357
21,1,42.82108211454581
21,2,68.08269726928346
21,3,92.0475088025404
21,4,118.49437009904494
21,5,150.90846714506617
21,6,188.6090349860289
21,7,212.26270408183504
21,8,224.02703556864333
21,9,231.2142797077077
21,10,223.01392726943368
21,11,201.84161125757979
22,1,42.76691529933302
22,2,68.0335130770702
22,3,92.09920650436823
22,4,118.33626488013749
22,5,151.03315907855392
22,6,193.09375085543758
22,7,220.94913376258216
22,8,234.3762201613167
22,9,240.66652385857495
22,10,242.75361110287741
22,11,223.23533468156884
23,2,67.89904031269099
23,3,91.9650342683125
23,4,118.14574358342917
23,5,150.6417619183555
23,6,195.48584702731614
23,7,233.04635500915853
23,8,245.50841764044034
23,9,250.234580697009
23,10,254.3442508790923
23,11,244.8568449143778
24,1,42.605500853772696
24,2,67.91552155915824
24,3,91.94212581383628
24,4,118.23412623128914
24,5,150.68980546897737
24,6,196.88900010926852
24,7,252.68637272223344
24,8,259.8833157299192
24,9,261.11474419575916
24,10,265.3665096333354
24,11,265.1564949767358
25,1,42.49103712856704
25,2,67.8144894009554
25,3,91.80231867171528
25,4,117.94067398378871
25,5,150.2177710954378
25,6,196.998091890692
25,7,279.03639559668557
25,8,276.9929669215578
25,9,274.49257127019956
25,10,276.1114080657626
25,11,278.15877092985227
26,1,42.43450023771226
26,2,67.81330094803982
26,3,91.78088553809978
26,4,117.98591715685087
26,5,149.8987329593065
26,6,197.424145430739
26,7,301.1044909181866
26,8,295.5926102202564
26,9,289.779135689335
26,10,287.7589296573854
26,11,288.8684529069189
27,1,42.34963855236943
27,2,67.69471520367006
27,3,91.58405997678753
27,4,117.58558610921808
27,5,149.10812490249918
27,6,196.61125729685912
27,7,321.36501765697886
27,8,314.79754488320145
27,9,306.613284370612
27,10,301.40728686447164
27,11,300.5254548011096
28,1,42.326211003516285
28,2,67.69511818483109
28,3,91.57380103265416
28,4,117.51141025483174
28,5,148.89892986860005
28,6,196.96257490700788
28,7,337.35692205132324
28,8,332.1860317175167
28,9,322.43036324296077
28,10,315.76516412253886
28,11,312.18977865809063
29,1,42.24953188479914
29,2,67.56866406253748
29,3,91.38620988709977
29,4,117.08780192250755
29,5,147.38074274064627
29,6,196.52174083759695
29,7,351.45664547952066
29,8,347.92622998056777
29,9,338.35697102883984
29,10,330.75385033159176
29,11,325.36297326499744
30,1,42.27897683031106
30,2,67.53622749416908
30,3,91.28842889894187
30,4,116.94302923285996
30,5,147.3242024346969
30,6,197.1474954485968
30,7,363.6740780554893
30,8,360.97547031441724
30,9,352.93155652889317
30,10,344.275657793736
30,11,337.58051512399277
